Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
A. Morin,Agua Grande,2016,63.0,France,3.75,Blend,Sao Tome
A. Morin,Kpime,2015,70.0,France,2.75,Blend,Togo
A. Morin,Atsane,2015,70.0,France,3.0,Blend,Togo
A. Morin,Akata,2015,70.0,France,3.5,Blend,Togo
A. Morin,Quilla,2015,70.0,France,3.5,Blend,Peru
A. Morin,Carenero,2014,70.0,France,2.75,Criollo,Venezuela
A. Morin,Cuba,2014,70.0,France,3.5,Blend,Cuba
A. Morin,Sur del Lago,2014,70.0,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,2014,70.0,France,3.75,Criollo,Venezuela
A. Morin,Pablino,2014,70.0,France,4.0,Blend,Peru
A. Morin,Panama,2013,70.0,France,2.75,Blend,Panama
A. Morin,Madagascar,2013,70.0,France,3.0,Criollo,Madagascar
A. Morin,Brazil,2013,70.0,France,3.25,Blend,Brazil
A. Morin,Equateur,2013,70.0,France,3.75,Blend,Ecuador
A. Morin,Colombie,2013,70.0,France,2.75,Blend,Colombia
A. Morin,Birmanie,2013,70.0,France,3.0,Blend,Burma
A. Morin,Papua New Guinea,2013,70.0,France,3.25,Blend,Papua New Guinea
A. Morin,Chuao,2013,70.0,France,4.0,Trinitario,Venezuela
A. Morin,Piura,2013,70.0,France,3.25,Blend,Peru
A. Morin,Chanchamayo Province,2013,70.0,France,3.5,Blend,Peru
A. Morin,Chanchamayo Province,2013,63.0,France,4.0,Blend,Peru
A. Morin,Bolivia,2012,70.0,France,3.5,Blend,Bolivia
A. Morin,Peru,2012,63.0,France,3.75,Blend,Peru
Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,3.75,Blend,Peru
Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,2011,60.0,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,2011,88.0,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,2009,70.0,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,2014,65.0,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,2014,75.0,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,2014,75.0,France,3.0,Trinitario,Madagascar
Alain Ducasse,Chuao,2013,75.0,France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",2013,75.0,France,2.5,Blend,Peru
Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,2017,70.0,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,2016,60.0,U.S.A.,2.75,Blend,Nicaragua
Altus aka Cao Artisan,Acopagro,2016,60.0,U.S.A.,3.0,Blend,Peru
Altus aka Cao Artisan,CIAAB Coop,2016,60.0,U.S.A.,2.5,Blend,Bolivia
Altus aka Cao Artisan,Villa Andina,2016,60.0,U.S.A.,2.5,Blend,Peru
Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A.,2.75,Blend,Ecuador
Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A.,2.5,Blend,Venezuela
Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,3.25,Blend,Bolivia
Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A.,3.0,Blend,Bolivia
Altus aka Cao Artisan,Peru,2013,60.0,U.S.A.,3.25,Blend,Peru
Amano,Morobe,2011,70.0,U.S.A.,4.0,Blend,Papua New Guinea
Amano,Dos Rios,2010,70.0,U.S.A.,3.75,Blend,Dominican Republic
Amano,Guayas,2010,70.0,U.S.A.,4.0,Blend,Ecuador
Amano,Chuao,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela
Amano,Montanya,2009,70.0,U.S.A.,3.0,Blend,Venezuela
Amano,"Bali, Jembrana",2008,70.0,U.S.A.,2.75,Blend,Indonesia
Amano,Madagascar,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,2007,70.0,U.S.A.,3.0,Blend,Venezuela
Amano,Ocumare,2007,70.0,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,2009,70.0,Spain,3.0,Forastero,Ghana
Amatller (Simon Coll),Ecuador,2009,70.0,Spain,2.75,Blend,Ecuador
Amatller (Simon Coll),Ecuador,2009,85.0,Spain,2.75,Blend,Ecuador
Amatller (Simon Coll),Ghana,2009,85.0,Spain,3.0,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,3.25,Blend,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,2015,64.0,Canada,3.0,Trinitario,Belize
Ambrosia,Madagascar,2015,66.0,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,2015,75.0,Canada,3.25,Blend,Dominican Republic
