,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
0,Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,65.0,Trinitario,Fiji,157300.0
1,Adi,Vanua Levu,2011,88.0,Fiji,70.0,Trinitario,Fiji,186340.00000000003
2,Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,70.0,Trinitario,Fiji,152460.0
3,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,75.0,Trinitario,Indonesia,170156.25
4,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,55.0,Criollo,Madagascar,103125.0
5,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,55.0,Forastero,Brazil,103125.0
6,Alain Ducasse,Vietnam,2014,75.0,France,55.0,Trinitario,Vietnam,124781.25000000003
7,Alain Ducasse,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,136125.00000000003
8,Alain Ducasse,Chuao,2013,75.0,France,50.0,Trinitario,Venezuela,113437.50000000003
9,Alain Ducasse,"Piura, Perou",2013,75.0,France,50.0,Blend,Peru,93750.0
10,Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,65.0,Blend,Bolivia,130000.0
11,Amatller (Simon Coll),Ecuador,2009,85.0,Spain,55.0,Blend,Ecuador,116875.0
12,Amatller (Simon Coll),Ghana,2009,85.0,Spain,60.0,Forastero,Ghana,127500.0
13,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,65.0,Blend,Peru,117000.0
14,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,70.0,Trinitario,Peru,154577.5
15,Ambrosia,Dominican Republic,2015,75.0,Canada,65.0,Blend,Dominican Republic,121875.0
16,Amedei,Nine,2007,75.0,Italy,80.0,Blend,Other,150000.0
17,AMMA,Catongo,2013,75.0,Brazil,65.0,Forastero (Catongo),Brazil,121875.0
18,AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,55.0,Forastero (Parazinho),Brazil,116875.0
19,AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,75.0,Forastero (Parazinho),Brazil,140625.0
20,Anahata,Elvesia,2014,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
21,Animas,Alto Beni,2016,75.0,U.S.A.,70.0,Blend,Bolivia,131250.0
22,Ara,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,136125.00000000003
23,Ara,Chiapas,2014,72.0,France,50.0,Blend,Mexico,90000.0
24,Ara,Equateur,2014,75.0,France,55.0,Blend,Ecuador,103125.0
25,Ara,Trincheras,2014,75.0,France,60.0,Blend,Venezuela,112500.0
26,Arete,Tien Giang,2016,73.0,U.S.A.,70.0,Trinitario,Vietnam,154577.5
27,Arete,Lam Dong,2016,73.0,U.S.A.,65.0,Blend,Vietnam,118625.0
28,Arete,Fazenda Camboa,2015,75.0,U.S.A.,55.0,Blend,Brazil,103125.0
