,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
A. Morin,,,,,,,72.5,66.36363636363636,70.0,63.75,75.0,
AMMA,,,,,77.5,,,,,,,
Acalli,,,,,,,,,,75.0,,
Adi,,,,,,55.0,,,,,,
Aequare (Gianduja),,,,57.5,,,,,,,,
Ah Cacao,,,,60.0,,,,,,,,
Alain Ducasse,,,,,,,,,55.0,,,
Alexandre,,,,,,,,,,,,70.0
Altus aka Cao Artisan,,,,,,,,58.75,,,54.0,
Amano,,68.33333333333333,55.0,60.0,71.66666666666667,80.0,,,,,,
Amatller (Simon Coll),,,,57.5,,,,,,,,
Ambrosia,,,,,,,,,,65.0,,
Amedei,90.0,73.88888888888889,,,,,75.0,,,,,
Arete,,,,,,,,,,72.14285714285714,71.81818181818181,
Askinosie,,60.0,,,,75.0,,,,,75.0,
Bahen & Co.,,,,,,,53.333333333333336,,,70.0,,
Bakau,,,,,,,,,,62.5,,
Bar Au Chocolat,,,,,,,70.0,,80.0,70.0,,
Batch,,,,,,,,,,,70.0,
Beehive,,,,,,,,,,,55.0,
Belcolade,,,,,55.0,,,,,,,
Bellflower,,,,,,,,,,,68.33333333333333,
Bernachon,,,,,,,55.0,,,,,
Beschle (Felchlin),,,,,67.5,60.0,,,,,,
Bittersweet Origins,,,67.5,70.0,63.333333333333336,,,,,,,
Black Mountain,,,56.666666666666664,,,,,,,,,
Black River (A. Morin),,,,,,,,,55.0,,,
Blue Bandana,,,,,,,72.5,,,,,
Bonnat,,,,,,,,,75.0,,,
Bowler Man,,,,,,,,,55.0,,,
Brasstown aka It's Chocolate,,,,,,,,65.0,77.5,75.0,72.5,
Brazen,,,,,,,,,,65.0,,
Breeze Mill,,,,,,,,60.0,,,,
Bright,,,,,,,,,62.5,,,
Britarev,,,,,,,,,,65.0,,
Bronx Grrl Chocolate,,,,,,,,55.0,,,,
Burnt Fork Bend,,,,,,,,,50.0,,,
C-Amaro,,,,,,50.0,,,70.0,,,
Cacao Arabuco,,,,,,,,,,50.0,,
Cacao Barry,,60.0,,,60.0,,,,,,70.0,
Cacao Hunters,,,,,,,,,65.0,,,
Cacao Market,,,,,,,,,,,70.0,
Cacao Prieto,,,,,,70.0,,,,,,
Cacao Sampaka,,,,80.0,,,,,,,70.0,
Cacao Store,,,,,,,,,,65.0,,
Cacao de Origen,,,,,,,,,75.0,,,
Cacaosuyo (Theobroma Inversiones),,,,,,,,65.0,,,,
Cacaoyere (Ecuatoriana),,,70.0,,,,,,,,,
Callebaut,,20.0,55.0,,,,,,,,,
Cao,,,,,,,,,,,62.5,
