,0
A. Morin,69.52272727272728
AMMA,
Acalli,75.0
Adi,
Aequare (Gianduja),
Ah Cacao,
Alain Ducasse,55.0
Alexandre,70.0
Altus aka Cao Artisan,56.375
Amano,
Amatller (Simon Coll),
Ambrosia,65.0
Amedei,75.0
Arete,71.98051948051948
Askinosie,75.0
Bahen & Co.,61.66666666666667
Bakau,62.5
Bar Au Chocolat,73.33333333333333
Batch,70.0
Beehive,55.0
Belcolade,
Bellflower,68.33333333333333
Bernachon,55.0
Beschle (Felchlin),
Bittersweet Origins,
Black Mountain,
Black River (A. Morin),55.0
Blue Bandana,72.5
Bonnat,75.0
Bowler Man,55.0
Brasstown aka It's Chocolate,72.5
Brazen,65.0
Breeze Mill,60.0
Bright,62.5
Britarev,65.0
Bronx Grrl Chocolate,55.0
Burnt Fork Bend,50.0
C-Amaro,70.0
Cacao Arabuco,50.0
Cacao Barry,70.0
Cacao Hunters,65.0
Cacao Market,70.0
Cacao Prieto,
Cacao Sampaka,70.0
Cacao Store,65.0
Cacao de Origen,75.0
Cacaosuyo (Theobroma Inversiones),65.0
Cacaoyere (Ecuatoriana),
Callebaut,
Cao,62.5
Caoni (Tulicorp),
Captain Pembleton,72.5
Carlotta Chocolat,66.0
Castronovo,62.5
Cello,55.0
Chaleur B,55.0
Charm School,65.0
Chchukululu (Tulicorp),
Chequessett,70.0
Chloe Chocolat,
Chocablog,65.0
Choco Dong,62.5
Chocola'te,
Chocolarder,52.5
Chocolate Con Amor,57.5
Chocolate Makers,70.0
"Chocolate Tree, The",68.33333333333333
Chocolats Privilege,50.0
Chocosol,
Chocovic,
Chocovivo,50.0
Choklat,
Chokolat Elot (Girard),55.0
Christopher Morel (Felchlin),
Chuao Chocolatier,
Compania de Chocolate (Salgado),
Coppeneur,67.5
Cote d' Or (Kraft),
Cravve,57.5
DAR,65.0
Daintree,55.0
Damson,57.5
Dandelion,66.83333333333334
Danta,73.75
Dark Forest,62.5
Davis,59.16666666666667
De Mendes,70.0
De Villiers,55.0
Dean and Deluca (Belcolade),
Debauve & Gallais (Michel Cluizel),
Dick Taylor,71.66666666666667
Dole (Guittard),
Dolfin (Belcolade),
Domori,73.75
Dormouse,50.0
Duffy's,75.0
Dulcinea,65.0
Durci,70.0
East Van Roasters,70.0
Eau de Rose,65.0
Edelmond,60.0
El Rey,75.0
Emerald Estate,60.0
Erithaj (A. Morin),65.0
Escazu,55.0
Ethel's Artisan (Mars),
Felchlin,
Finca,55.0
Forteza (Cortes),55.0
Fossa,65.0
Franceschi,72.5
Frederic Blondeel,70.0
French Broad,66.25
Fresco,71.66666666666667
Friis Holm,70.0
Friis Holm (Bonnat),66.25
Fruition,66.66666666666667
Georgia Ramon,71.66666666666667
Glennmade,65.0
Green & Black's (ICAM),
Green Bean to Bar,70.0
Grenada Chocolate Co.,
Guido Castagna,
Guittard,68.125
Habitual,62.5
Hacienda El Castillo,57.5
Haigh,
Harper Macaw,60.0
Heilemann,55.0
Heirloom Cacao Preservation (Brasstown),65.0
Heirloom Cacao Preservation (Guittard),70.0
Heirloom Cacao Preservation (Millcreek),70.0
Heirloom Cacao Preservation (Zokoko),75.0
Hogarth,62.5
