,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
0,A. Morin,Agua Grande,2016,63.0,France,75.0,Blend,Sao Tome,118125.0
1,A. Morin,Kpime,2015,70.0,France,55.0,Blend,Togo,96250.0
2,A. Morin,Atsane,2015,70.0,France,60.0,Blend,Togo,105000.0
3,A. Morin,Akata,2015,70.0,France,70.0,Blend,Togo,122500.0
4,A. Morin,Quilla,2015,70.0,France,70.0,Blend,Peru,122500.0
5,A. Morin,Carenero,2014,70.0,France,55.0,Criollo,Venezuela,96250.0
6,A. Morin,Cuba,2014,70.0,France,70.0,Blend,Cuba,122500.0
7,A. Morin,Sur del Lago,2014,70.0,France,70.0,Criollo,Venezuela,122500.0
8,A. Morin,Puerto Cabello,2014,70.0,France,75.0,Criollo,Venezuela,131250.0
9,A. Morin,Pablino,2014,70.0,France,80.0,Blend,Peru,140000.0
10,A. Morin,Panama,2013,70.0,France,55.0,Blend,Panama,96250.0
11,A. Morin,Madagascar,2013,70.0,France,60.0,Criollo,Madagascar,105000.0
12,A. Morin,Brazil,2013,70.0,France,65.0,Blend,Brazil,113750.0
13,A. Morin,Equateur,2013,70.0,France,75.0,Blend,Ecuador,131250.0
14,A. Morin,Colombie,2013,70.0,France,55.0,Blend,Colombia,96250.0
15,A. Morin,Birmanie,2013,70.0,France,60.0,Blend,Burma,105000.0
16,A. Morin,Papua New Guinea,2013,70.0,France,65.0,Blend,Papua New Guinea,113750.0
17,A. Morin,Chuao,2013,70.0,France,80.0,Trinitario,Venezuela,140000.0
18,A. Morin,Piura,2013,70.0,France,65.0,Blend,Peru,113750.0
19,A. Morin,Chanchamayo Province,2013,70.0,France,70.0,Blend,Peru,122500.0
20,A. Morin,Chanchamayo Province,2013,63.0,France,80.0,Blend,Peru,126000.0
21,A. Morin,Bolivia,2012,70.0,France,70.0,Blend,Bolivia,122500.0
22,A. Morin,Peru,2012,63.0,France,75.0,Blend,Peru,118125.0
23,Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,75.0,Blend,Peru,131250.0
24,Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,75.0,Criollo,Peru,131250.0
25,Adi,Vanua Levu,2011,60.0,Fiji,55.0,Trinitario,Fiji,82500.0
26,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,55.0,Forastero (Arriba),Ecuador,75625.0
27,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,60.0,Forastero (Arriba),Ecuador,105000.0
28,Ah Cacao,Tabasco,2009,70.0,Mexico,60.0,Criollo,Mexico,105000.0
29,Alain Ducasse,Trinite,2014,65.0,France,55.0,Trinitario,Trinidad,89375.0
30,Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,70.0,Forastero (Nacional),Ecuador,122500.0
31,Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,70.0,"Criollo, Trinitario",Nicaragua,122500.0
